Setup title,"I/V Sweep_device2_light"
Classic test name,"I/V Sweep"
Test date,3/22/2023
Test time,16:52:13
Device ID,2
Count,3
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-1.5
Measurement.Primary.Step,-0.015
Measurement.Primary.Compliance,5E-05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,5E-05,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,6
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,6
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,4.2266E-10
-0.015,2.1535E-10
-0.03,-1.0689E-10
-0.045,-4.9922E-10
-0.06,-1.03832E-09
-0.075,-1.39253E-09
-0.09,-2.13288E-09
-0.105,-2.73114E-09
-0.12,-4.07932E-09
-0.135,-5.11669E-09
-0.15,-5.60903E-09
-0.165,-6.7257E-09
-0.18,-7.9619E-09
-0.195,-9.2733E-09
-0.21,-1.00061E-08
-0.225,-1.10679E-08
-0.24,-1.1187E-08
-0.255,-1.17654E-08
-0.27,-1.21773E-08
-0.285,-1.21934E-08
-0.3,-1.30999E-08
-0.315,-1.38051E-08
-0.33,-1.3769E-08
-0.345,-1.42336E-08
-0.36,-1.47187E-08
-0.375,-1.50494E-08
-0.39,-1.43178E-08
-0.405,-1.51305E-08
-0.42,-1.49362E-08
-0.435,-1.52402E-08
-0.45,-1.53479E-08
-0.465,-1.66542E-08
-0.48,-1.61962E-08
-0.495,-1.61761E-08
-0.51,-1.52861E-08
-0.525,-1.54234E-08
-0.54,-1.57736E-08
-0.555,-1.78087E-08
-0.57,-1.822E-08
-0.585,-1.78038E-08
-0.6,-1.84957E-08
-0.615,-1.79668E-08
-0.63,-2.09884E-08
-0.645,-2.0983E-08
-0.66,-2.03654E-08
-0.675,-2.08037E-08
-0.69,-2.32855E-08
-0.705,-2.39819E-08
-0.72,-2.49986E-08
-0.735,-2.55764E-08
-0.75,-2.77732E-08
-0.765,-2.77255E-08
-0.78,-2.82796E-08
-0.795,-2.90166E-08
-0.81,-3.01647E-08
-0.825,-3.19905E-08
-0.84,-3.22383E-08
-0.855,-3.21759E-08
-0.87,-3.45907E-08
-0.885,-3.69783E-08
-0.9,-3.8383E-08
-0.915,-3.88516E-08
-0.93,-3.96408E-08
-0.945,-3.92304E-08
-0.96,-4.31526E-08
-0.975,-4.34255E-08
-0.99,-4.44353E-08
-1.005,-4.63223E-08
-1.02,-4.7804E-08
-1.035,-5.11357E-08
-1.05,-5.1824E-08
-1.065,-5.11444E-08
-1.08,-5.1313E-08
-1.095,-5.56038E-08
-1.11,-5.60861E-08
-1.125,-5.78745E-08
-1.14,-6.00487E-08
-1.155,-6.06724E-08
-1.17,-6.23824E-08
-1.185,-6.37042E-08
-1.2,-6.53331E-08
-1.215,-6.75123E-08
-1.23,-6.87965E-08
-1.245,-7.00252E-08
-1.26,-7.5966E-08
-1.275,-7.25924E-08
-1.29,-7.65127E-08
-1.305,-7.90178E-08
-1.32,-8.09349E-08
-1.335,-8.38051E-08
-1.35,-8.59607E-08
-1.365,-8.82417E-08
-1.38,-9.17137E-08
-1.395,-9.16817E-08
-1.41,-9.45407E-08
-1.425,-9.52349E-08
-1.44,-9.68018E-08
-1.455,-9.87448E-08
